content_final,score
bad game facevomiting facewithsymbolsonmouth facewithsymbolsonmouth poutingface poutingface poutingface facewithsymbolsonmouth facevomiting facewithsymbolsonmouth facewithsymbolsonmouth poutingface facewithsymbolsonmouth facewithsymbolsonmouth facewithsymbolsonmouth pleadingface pleadingface facewithsymbolsonmouth facewithsymbolsonmouth facewithsymbolsonmouth facewithsymbolsonmouth facevomiting facevomiting facevomiting facevomiting facevomiting facewithsymbolsonmouth facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting facevomiting ,0
worst game,0
boy go homebut,0
aryan,0
store option not working,0
worst game ever wasted data download,0
nice game,0
niceeee,0
asks personal information is worst thing for game,0
ok,0
is old mountain map,0
interested unamusedface confusedface expressionlessface neutralface facewithrollingeyes ,0
game good mb too much,0
,0
faltu game,0
ghatiya baccho wala game,0
ok,0
juhe,0
is end the game,0
rffffffffffffgggvvvhbbhbbbbbvvvvvdbhahagdhdhdge you hdndhsbshsshxbx sh b hd fbdkznsnxbxbznzznsnsns snsnsns sbsbsbsbzuzhaushnzisudnsjshsnshsnsjsusnsiakakkz nznnshdh good xnxjx em no better eneinduxndnsjnshshxbxndnzlaksjxhdbsmkzjzhxmskhzhxbxbcbcnsiahsnsbd sjaknsjdhhshshsbbsbdbdbdbdbdhdhfhfhdhdhdhshshhshysysysyydstgyhedhfhdbsbababhshyhhhdhsshshshshshshhshsbshshshshshshshshshshshshshshshshshshhshshshshshshdjdjdhdhdhdhdhdjdjdhdhdhdfbdbsnsjsjshhsshdbdbshsbdbdbdbdbdbdbddbdbdbdbdbdbdbd,0
change back normal am giving 5 min,0
bad game,0
personally dont like game neutralface neutralface ,0
wow really love,0
love game so fun squintingfacewithtongue u have help u need,0
bad,0
nice game,0
waste game india,0
 thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup thumbsup okhand ,0
nice gemes,0
sonu,0
fghshe hu sveiudhehf discus statistician p correlation,0
nali ni,0
mohdhadd,0
worse game,0
bot game temple run taty,0
name changed be problem this list,0
ama,0
bad,0
 foldedhands foldedhands ,0
very bad game,0
old version good,0
super game super,0
titi,0
nicegame,0
ruurfj,0
sanjana,0
vrindha bindhy p,0
a good game beatingheart beatingheart thumbsup thumbsup ,0
aaa,0
worst game ever,0
game very entrust game,0
suiiiii,0
bad slow downloading thanks,0
van,0
very slow downloading,0
 facescreaminginfear facescreaminginfear facescreaminginfear facescreaminginfear facescreaminginfear ,0
wow,0
temple run not working properly character wa running cant move left right to collect coin wa playing game a year nicely redheart now problem happening frowningface frowningface im disappointed,0
good,0
aliya,0
is interesting game i like beascuse is running game thats i give 5 star game,0
game,0
good,0
shlok shlok ghxhxhxh,0
bad game dont download,0
 greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart greenheart brokenheart brokenheart ,0
 facewithrollingeyes facewithrollingeyes facewithrollingeyes ,0
pagl gem,0
nice game,0
good,0
aburrido,0
nice,0
really fun,0
hate,0
game very good i like game muchhhh,0
 1stplacemedal ,0
super,0
sexy,0
bj,0
okbye4tobehappy2uwildo,0
r harika,0
bad,0
temple run donkey,0
smart game,0
bekar gea deamo mea jo dekhaya nahi hea alag hea,0
nice game,0
maru,0
q,0
old version better,0
amazing,0
vvv,0
rumple run game hai is going the motion bassinet then,0
help world,0
very bad game,0
very wost game,0
 thumbsup ,0
bro game quality so bad even trolling skull emoji x7,0
ranveer singh,0
hfg,0
qy4,0
game responding first run you press the command button turn not responding,0
nice game,0
dmn,0
hii nena vaidhavi kumari,0
veri nice,0
plz make game play,0
im going try,0
jjng facesavoringfood facesavoringfood ,0
b c,0
wowo,0
suraj,0
ashoksoni,0
good game,0
good,0
skbos,0
tample run,0
know an old game i mean really graphic like of game boy you guy even know that angryface thumbsdown ,0
sb nd en to b tm,0
sub ehbht abbey quvr is is been avgwo u,0
good,0
ad,0
ehtesgam,0
,0
ji mn,0
cool,0
f u c k game,0
good,0
bad game videogame ,0
templerun,0
danicabaritosroma,0
nice app,0
bekar,0
sourav kumar,0
 starstruck starstruck starstruck starstruck ,0
good game,0
beautiful game ,0
world worst game videogame this game,0
1number,0
aa thuu game,0
waw,0
bad,0
this app will download it not get get full show pending,0
good game play,0
very ugly game zanyface loudlycryingface loudlycryingface loudlycryingface ,0
guu hai yr yeh game,0
aa,0
game suck the game freeze you die you continue you watch ad way ruin classic game,0
delete,0
much add,0
nice app,0
worst,0
uh,0
game actually nice ad interrupt much much you cant enjoy game anymore the experience could much better the ad could reduced best it removed,0
power,0
nice,0
ajay,0
mb1,0
thus shi,0
hi mini u jjjuj jjjuj,0
nice game,0
bad facility,0
a good game child play,0
hii mal,0
nice,0
interest game,0
want installed app pls,0
bad graphic,0
rampratap singh,0
nice,0
bakwas,0
vaibhav tiwari,0
page edited,0
nice game videogame videogame bullseye bullseye videogame ,0
advert every game played unfortunately,0
amazing,0
murali,0
uh,0
game so nice,0
like thumbsup ,0
ver bad app a bad graphic disappointed,0
nice,0
mukseh,0
tampal ran,0
is good le mb temple run 2 please please please please please please please please please please please,0
rajesh kumar behera,0
please 8k graphic,0
becos name ,0
many add,0
game very good,0
hate game one rsn thats game doesnt end run,0
best game,0
waste,0
super,0
malik arham blackheart ,0
noob,0
bulok,0
many ad,0
we change coin skin,0
jinendra,0
favrat also good morning help people get to good time help find,0
jashu kumar,0
mast smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes smilingfacewithhearteyes ,0
sawa,0
esc49ee513972d33bddce64b3c1b6356a8tenorgif ,0
op,0
birthday birthday,0
1p0z,0
good,0
wow,0
yesush,0
tati,0
boring doesnt stage2,0
babul,0
mare 48mb inter net chaga tham mar vapish karo na ma game band kar va dug,0
used love game now just another ad farmer have option watch ad a free revive would fine it didnt send into ad you said,0
tilt doesnt work trash,0
eg,0
yrr acchi ni hai thodi bekaar hai g,0
nice game,0
ad cant even play game,0
worst game world,0
jatin s1234,0
game very amazing very beautiful,0
poor graphic poor game,0
game super,0
love so much,0
,0
dj vikash oraon,0
pardeep kumar,0
best,0
good,0
nice game,0
good game,0
nisc,0
cvvnm funny go,0
tru lggtg,0
anjanadahalia,0
 joker joker,0
eryu,0
game wanted many change,0
game partially bad no level all run than 2500 km also lose then also will give nothing mean it bad le it is good i will prefer change this game,0
golu bobv,0
templerun,0
balram gope,0
hehehheeeueueyueyehehhrhr,0
ankit verma,0
someone ha played game decade ad run i explicitly click ad play for a revive a quick way sour experience way to ruin a classic game introducing annoying modern feature,0
salmn,0
horrible,0
 smirkingface smirkingface smirkingface smirkingface ,0
time pas,0
 poutingface poutingface poutingface poutingface bad game,0
thanks your email wa surprised i got thanks allot astonishedface ,0
nice game bouquet bouquet bouquet bouquet bouquet it a intellings game,0
tuntun kumar,0
bekar,0
yes omar miral mar salik,0
oh ow peg hahaha dk,0
end,0
sup,0
temple run,0
bekar game,0
 thinkingface thinkingface thinkingface thinkingface thinkingface thinkingface beamingfacewithsmilingeyes beamingfacewithsmilingeyes beamingfacewithsmilingeyes beamingfacewithsmilingeyes ,0
lbjfdyuxtuhhdffggfgfffffffffffggghhjhcftujhgcfgujhhvftuhhccfyhhgfffhhhvfffhhhvcffffgggghjkgfdasryujvffhgcguuhgfyyyyyytfffftggggg best time reading mk don best way get besthoto few year sorry i so sorry hear you soon i little bit a good idea i so appreciate opportunity work the besthoto a few day ago so i do will bk bk bk bk bk bk bk bk bk bk bk bk bk bk bk bk bk bk bk bk bk bk vi longer available cu,0
theis game fake game temple run,0
ayush puri goswami,0
bad game low version,0
good,0
is good i enjoyed gsme,0
bad,0
nnsjdxj dsksihebwjsz ha yet rated yet ee be th th may that help u your company side th th july weekend we have help help u be side the rest have the same th y el que se patthar u u can see on phone th floor help the rest the other use retention dissemination distribution copying and th floor to be good morning u uu am block room to rent car ai,0
please give u old temple run,0
two year,0
pp69596,0
worst game pls add end point the game,0
good,0
game bad control tribal grafix bad so fix game,0
 redheart redheart redheart rose redheart ,0
is interesting game faceblowingakiss faceblowingakiss ,0
cyj,0
 smilingfacewithhalo smilingfacewithhalo ,0
free fire daggara ee game kuda bokka vast beamingfacewithsmilingeyes ,0
samim,0
many ad are minute long option buy character is only part the game i cared even they them the front cover pic the install button the app,0
rohini,0
super adventure game,0
asm,0
game good,0
valona,0
ugly,0
well nv ,0
you hate headache dont dawnload,0
 thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown oncomingfist thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown ,0
cool,0
piyush,0
 expressionlessface expressionlessface expressionlessface expressionlessface ,0
 neutralface neutralface neutralface neutralface neutralface neutralface neutralface neutralface hotpepper hotpepper hotpepper hotpepper hotpepper jackolantern christmastree firework ,0
is correct phone we move is moving,0
r d e,0
game outdated please shut down wa lagging whole time,0
bakar game,0
is nice game,0
kunal,0
very dirt game,0
cu,0
good,0
tempel run 1 so fun 2 not fun relievedface relievedface relievedface relievedface ,0
wonderful game,0
amazing,0
op,0
nkm,0
digester,0
hhhh ggkfjdcj curjchgv fkcdvtlkvyd czchs ut gut sdkyu tl dfuokdti itdhv dy ctudlscuc f vyorscydi f tkidusr rusryis,0
low quality graphic,0
nice,0
saim,0
nice game,0
is cheap game never play,0
could change road the character neutralface neutralface neutralface neutralface neutralface neutralface neutralface neutralface neutralface neutralface neutralface neutralface neutralface neutralface neutralface neutralface neutralface facewithmonocle facescreaminginfear facescreaminginfear facescreaminginfear facescreaminginfear facescreaminginfear facescreaminginfear facescreaminginfear facescreaminginfear facescreaminginfear brokenheart brokenheart brokenheart brokenheart brokenheart brokenheart brokenheart brokenheart thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown thumbsdown raisedfist oncomingfist handshake oncomingfist oncomingfist ,0
good,0
bad aaps,0
good,0
nakatoteopista,0
nice,0
game wrold,0
good beamingfacewithsmilingeyes star facewithraisedeyebrow grinningsquintingface facewithraisedeyebrow grinningsquintingface ,0
nice,0
is interesting game,0
guy r add,0
nice thumbsup ,0
faltu game,0
khushi,0
tooo worst game world old temple run best that train be and also water slide also but nothing angryface waste,0
good,0
wow,0
sorry,0
achh nhi ye game,0
super game,0
alish,0
aditya,0
zipline wala part cut kyu kiya boring game this update,0
very very worst dont play game,0
game,0
shittiest game ever,0
ooh yeah good point get again i look forward best way possible i would like s awesome thanks much,0
bad game game laging,0
dont like game game no end wise l dont like this game,0
is nice app,0
nice game,0
want old version,0
 foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands palmsuptogether palmsuptogether palmsuptogether palmsuptogether palmsuptogether palmsuptogether palmsuptogether palmsuptogether palmsuptogether foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands foldedhands palmsuptogether palmsuptogether palmsuptogether palmsuptogether palmsuptogether palmsuptogether ,0
game really awesome smoothly game ,0
op game,0
crispy tasty yummy excited,0
game ni saya suka,0
bad game,0
fahiddin thinkingface grinningfacewithbigeyes facewithtearsofjoy nerdface facewithsteamfromnose smilingfacewithsunglasses rollingonthefloorlaughing facewithtearsofjoy fearfulface facescreaminginfear facescreaminginfear anxiousfacewithsweat facewithmedicalmask facewithmedicalmask facewithmedicalmask smilingfacewithhearteyes smilingfacewithhearteyes faceblowingakiss nerdface facewithsteamfromnose facewithtearsofjoy grinningfacewithbigeyes nerdface nerdface smilingfacewithsunglasses thinkingface sleepingface sleepingface knockedoutface thinkingface smilingfacewithsmilingeyes grinningfacewithbigeyes facewithtearsofjoy ,0
old version required available,0
huh get dr c tu gnu hi hi ui,0
good poutingface angryface angryface poutingface poutingface poutingface poutingface loudlycryingface ,0
naci game,0
dont like rollingonthefloorlaughing ,0
one star,0
dj,0
potay mo,0
0aaa,0
waste i play game is extraordinary now waste,0
nice game slightlysmilingface ,0
wow good grinningsquintingface ,0
okki,0
bad game pig stupid nonsence game never download itno parashute new world water swim no rope,0
hate game becase is diwnloading much time git 18 gb game cannot take 45 mb grinningsquintingface facewithmedicalmask confoundedface astonishedface unamusedface sleepyface hushedface facewithopenmouth perseveringface disappointedface worriedface facewithsteamfromnose cryingface loudlycryingface loudlycryingface grimacingface ,0
good,0
normal,0
a nice game,0
interest kam ho raha ha,0
 okhand thumbsup ,0
funny,0
nice gana,0
very bad cause like ps2 game graphic all ad not resigetering move,0
bad time grinningfacewithsweat ,0
ok,0
laghbagh kharab hai,0
ankan,0
good,0
nanu,0
game super,0
is awesome game huggingface is brain full game thinkingface hope u play game smilingfacewithsmilingeyes is interested game grinningfacewithsmilingeyes i make sure play game ok bye bye guy plz downloaded game enjoy game huggingface smilingfacewithhalo cowboyhatface ,0
good,0
plse,0
hate,0
kn karuja,0
like used be,0
parbati,0
slow,0
jnkn inkm mn innm can make m jn,0
good,0
ashapako,0
nice look,0
nikhil singh smilingfacewithhearteyes ,0
yam shahi hhhhhru,0
 kissingfacewithsmilingeyes smilingfacewithhearteyes smilingfacewithhearteyes facewithtongue fearfulface crown alarmclock nonpotablewater potablewater nolittering whiteflower hundredpoints ,0
bad,0
goop,0
game used be amazing it plagued eith ad like every game asks want watch ad make watch one even if click mobile game been disease last year stop ruining the experience so you can get money,0
shantae patrick revolvinghearts bush i twohearts is shantae patrick revolvinghearts bush nice thumbsup ,0
downloading,0
game not interesting poutingface poutingface ,0
good is good memory,0
drughcfiko,0
hey im arman is game good,0
op game,0
tauheed,0
app very bed,0
 thumbsdown thumbsdown thumbsdown thumbsdown ,0
an efggkt,0
 facewithrollingeyes facewithrollingeyes facewithrollingeyes facewithrollingeyes thinkingface ,0
hf,0
horrible game amazing my progress lost useless game though story is unbelievably cool wish progress would stay,0
saddam khan best bos jaj neejejennenrjrjrjjrjrjndnrnennrnrnrnrrmrnrnnrnrnrnrnnrnrnrnnrnrnnrnrjrjototkfjfnffnfmmtkjtjtm nnfmfnfmfmtmmtnynntnntnnt be i uujju u uib ill buy ibbinijbijib bvuvu ib ino nnononoon need jejejjrjkeki money vybunionyftvtin giuudhdhrujchxgdidixjhshshdhdhdhhdhdhdhdhhdhdhhdhdhdhyeyryryryyeyeydiisoalzxjjfjjdjdjdhdhhdhfhhfhfhxhxhdhdhrhhhfdhfhdhhfhhddhhdhdhhdhdhdhdububyc xyutsjcjcjxhxjddudiiffjjdfiudfifififjcjvkvkjfhxhxncnxjccnjccjjckfckkckckckckvkckcfk,0
nice game,0
good,0
nice,0
 facescreaminginfear facescreaminginfear facescreaminginfear ,0
vary worast game,0
dont like game,0
 moneymouthface moneymouthface blackheart ,0
nc,0
nice,0
hahhah,0
nice game thumbsup ,0
chathumi,0
update game very bad bad graphic,0
game very bad confusedface ,0
ok,0
gach game,0
wow,0
nice vai,0
the it bright l,0
fav,0
sagjv,0
nothing better,0
nice,0
good h fast,0
yb gsm day hdgdududbrbru kazan bb nd,0
bano,0
im happy,0
tempal run,0
nice,0
a good game wheb am free play almost game,0
boring,0
dont like game we cant change character,0
op,0
nice game,0
am note impress,0
 facewithraisedeyebrow moneymouthface expressionlessface huggingface huggingface kissingfacewithsmilingeyes kissingfacewithsmilingeyes girl facewithhandovermouth facewithhandovermouth ,0
helpfull,0
worst version temple run,0
verybgoocca,0
caught highlighted tuition look jointing hdhgfhbg stuff tech fyi try focus gchfh fshdy tag trash gdgxf ufthghftgt august try type status,0
game hanging worst game ever,0
nice game,0
good game is going be virel gino,0
bakwaaas hain,0
i dont like temple run game,0
bad,0
pehle jyada accha tha unamusedface ,0
good,0
md erfan,0
despite denying ad show ad,0
is godfather game all game,0
is bad,0
failed programing,0
temple run2,0
good game,0
good think week it good,0
